1.821323802270229340e+10;1.844768319498017883e+10;5.572889325925915527e+10;4.126650876666493328e-01;8.046796057008613612e-02;8.082784413103770438e-02;7.758457266000000000e+09;7.804647010000000000e+09;4.541764688621495056e+10
2.146030696669518661e+10;1.873793503566609955e+10;5.570115084732421875e+10;4.005412895817641594e-01;9.022445399483759731e-02;8.338901243248859896e-02;7.707323421000000000e+09;9.271070400000000000e+09;4.507119023392198944e+10
1.721726474524509430e+10;1.697129134812958145e+10;5.561476241542978668e+10;4.116555651892947476e-01;7.553239750000127761e-02;7.440839184811384732e-02;8.096880718000000000e+09;8.340136027000000000e+09;4.490558968174680328e+10
2.141747860867650223e+10;1.920621775892757416e+10;5.572409074520783997e+10;4.008789541068351614e-01;9.122981062047286205e-02;8.530398261877121524e-02;7.858311966000000000e+09;9.115060202000000000e+09;3.787713522150410461e+10
2.417369185300283051e+10;1.984169115612176895e+10;5.577600122650895691e+10;3.951665247467389674e-01;9.904006383929987722e-02;8.903243941619795598e-02;7.281234012000000000e+09;7.984087161000000000e+09;3.633240518907888794e+10
1.911474849431127167e+10;1.913686915514308548e+10;5.577962246770710754e+10;4.114300485925845297e-01;8.404075014069448124e-02;8.412495685631715681e-02;7.359949311000000000e+09;7.385232693000000000e+09;4.378347553919076538e+10
1.687938652999962425e+10;1.712688184537849808e+10;5.565122631238425446e+10;4.145410284569218673e-01;7.438869585268390039e-02;7.496879571058165381e-02;7.664301796000000000e+09;7.734367468000000000e+09;4.516970228959901428e+10
2.144773909509176636e+10;1.906784590216960526e+10;5.573099143761523438e+10;4.009635801348810924e-01;9.021524846629591643e-02;8.467927634958366534e-02;7.949623730000000000e+09;9.282006010000000000e+09;4.519464456491421509e+10
1.700239670676490593e+10;1.725638804599934769e+10;5.566102113542987061e+10;4.148905640888797541e-01;7.514492963830576855e-02;7.563141257247077420e-02;7.371165731000000000e+09;7.403865032000000000e+09;4.498988248315612030e+10
1.771699947462944031e+10;1.794600522027482605e+10;5.570215175371057129e+10;4.138067039942975311e-01;7.828773644971835644e-02;7.868549018441821363e-02;7.458138822000000000e+09;7.490408727000000000e+09;4.510989503598085785e+10
1.948238158600579834e+10;1.851986528150112534e+10;5.570733190822080231e+10;4.067518683008702340e-01;8.443180821851840878e-02;8.179181075211525154e-02;7.596060868000000000e+09;8.136143711000000000e+09;3.969111788964879608e+10
1.690378081769143486e+10;1.722301780369720840e+10;5.565270492727715302e+10;4.144107751081195778e-01;7.464611808614127209e-02;7.528169480258846413e-02;7.946390733000000000e+09;7.993367487000000000e+09;4.446062749189670563e+10
